GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
purchase,com.example.purchase.controller,ClientController,31,3,0,0,5,1,1,1,1,1
purchase,com.example.purchase.controller,AdminController,94,48,0,0,17,10,3,4,3,4
purchase,com.example.purchase,PurchaseApplication,5,3,0,0,2,1,1,1,1,1
purchase,com.example.purchase.entities,Product,75,45,0,0,17,20,3,13,3,13
purchase,com.example.purchase.services,ProductService,25,61,5,3,4,14,5,6,1,6
purchase,com.example.purchase.exceptions,ProductAlreadyExistsException,7,0,0,0,4,0,2,0,2,0
purchase,com.example.purchase.exceptions,ProductDoesNotExistException,7,0,0,0,4,0,2,0,2,0
